time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.02875416477e-08,6.43080760019e-08,10.0011436391,8.1881332977e-05,6.28293225464,0.0,1.28248261275e-05,6.06624622962e-06,0.0381203862541,0.00396336605916,-0.0143750884605,0.0,417.52455370581237,416.2688181186149,416.5406368488324,416.8869996328858
0.12000000000000001,9.40632339943e-06,3.08394655639e-06,10.0062933353,0.000403230467117,6.28189976517,0.0,0.000393337710061,0.000123055595325,0.133529002422,0.00800473657431,-0.0235799832435,0.0,435.24306213597293,434.472195294359,435.8638920069407,436.20136068943594
0.18,6.46719845322e-05,2.05393739058e-05,10.0172072146,0.000813042203809,6.28064630621,0.0,0.00158379009646,0.000504080486401,0.230251466943,0.00437100690711,-0.015993139318,0.0,435.6101290246983,436.24397706077104,436.0003338003285,435.6965866277524
0.23999999999999996,0.000210271093372,6.72588015142e-05,10.0319557343,0.00150602831852,6.27938562087,0.0,0.00336902939209,0.00109973484966,0.261358614769,0.023011608922,-0.0336425852743,0.0,415.72300449520463,414.1738125990208,413.29206770792047,414.9313969592295
0.3,0.00050397200197,0.000172152471652,10.0520354364,0.00246912045727,6.27776638985,0.0,0.00661615692683,0.00253084918275,0.407922084107,-0.00390603435306,-0.0162104949909,0.0,450.90812234647274,452.3137416972885,452.5272973375881,450.3556232502264
0.36000000000000004,0.0010269345168,0.000378563491593,10.0813857994,0.00199809459695,6.27632708808,0.0,0.0109403853246,0.00431175647913,0.570355139121,-0.0172156028563,-0.047920313662,0.0,458.3368245063869,455.80987139703944,456.4224804215709,455.35928913417183
0.4200000000000001,0.00184272234406,0.000677014314912,10.1195084306,0.000387026887663,6.27341414088,0.0,0.0165600342005,0.00551663253699,0.700325823742,-0.0657261909117,-0.0498369087762,0.0,446.6321115295488,446.47435305486545,448.7660197047058,444.8108995769278
0.48000000000000015,0.00306424572559,0.00100231643019,10.1659369965,6.28075733715,6.27029303891,0.0,0.0244888401277,0.00497454542499,0.847191377383,-0.0238919436581,-0.0567814502796,0.0,453.0759023245794,452.51558979473054,449.63679074652543,453.01097523585975
0.5400000000000001,0.00484137302881,0.00123944041468,10.2218696031,6.27898186258,6.26686810611,0.0,0.0351306348659,0.00275370222103,1.01708678953,-0.0445403376723,-0.0576903732603,0.0,458.14145148233786,458.0670544953296,461.3301707709543,459.69677299147094
0.6000000000000002,0.00718306823271,0.00133995525318,10.2790251543,6.27644090801,6.2633683794,0.0,0.0431647772795,0.000418945134783,0.888203669607,-0.0382934895238,-0.0596365822523,0.0,358.9184177550211,358.71760411925266,357.0964780720544,357.731603248935
0.6600000000000003,0.010134319136,0.00123839572564,10.3323293595,6.27414172631,6.26030103858,0.0,0.0554966736234,-0.00400476172755,0.888595074642,-0.0383721438631,-0.0380004081579,0.0,402.97320821258023,404.92191940553164,405.9217423999174,405.9138175278816
0.7200000000000003,0.0140439813072,0.000762366295824,10.3928690468,6.27162185011,6.25813211262,0.0,0.0750933092719,-0.0121554668614,1.12917818338,-0.0504661327882,-0.0326819930798,0.0,480.73425010973415,481.1365372231854,480.1891522564327,479.2701049349522
0.7800000000000004,0.019120093883,-0.000238702824063,10.4654079205,6.26893368744,6.25622526403,0.0,0.0943201537524,-0.0215259665399,1.2886077346,-0.0353764754597,-0.030037074694,0.0,455.71328732606617,455.9242936589695,457.05791414422055,458.2576693404129
0.8400000000000004,0.0253762714462,-0.0018500898008,10.5469503661,6.26732684106,6.25475064822,0.0,0.114389279006,-0.0323815795864,1.42929947908,-0.0135585159228,-0.0154348025355,0.0,450.88240459357587,452.0603499381294,450.4199886440538,452.1806151742977
0.9000000000000005,0.0327811764106,-0.00409589793189,10.6339818287,6.26672557423,6.25380617587,0.0,0.132526256786,-0.0425431879773,1.47169089203,-0.0037483271768,-0.016361131099,0.0,420.75449297497244,420.6743762900309,419.6735853735259,420.52426135159396
0.9600000000000005,0.0412709686626,-0.00694891862007,10.722837213,6.26666363625,6.25286551074,0.0,0.150551892084,-0.0525695867591,1.49012747915,0.00391122663248,-0.0143449397751,0.0,412.13327189514933,412.3114966729058,412.5155299717141,413.1913117659565
1.0200000000000005,0.0509674476259,-0.0104627004732,10.816410102,6.26697622676,6.25301445697,0.0,0.172682743869,-0.0645238769498,1.62877968751,0.00768830584808,0.023930003553,0.0,449.0110118439975,452.10520197770853,451.9192289817213,452.2234586780111
1.0800000000000005,0.0619138193917,-0.0146508500692,10.9161135198,6.26737249341,6.25541418565,0.0,0.191995444355,-0.075038166271,1.69457780658,0.00434341472379,0.0607952919421,0.0,427.04474900154787,430.17837302819567,428.9009301167627,428.61667059929584
1.1400000000000006,0.0740843638143,-0.0195318150663,11.0241706246,6.26797817158,6.25895584782,0.0,0.213252272626,-0.0876021588898,1.90700729126,0.0196458406263,0.0552366236535,0.0,474.3269765785581,473.90212643477855,473.45746192276454,474.6331325176551
1.2000000000000006,0.0874256846997,-0.025135410056,11.1440996554,6.26909755407,6.26209762259,0.0,0.231079642519,-0.099048549283,2.09032026412,0.0166002913621,0.0458897575237,0.0,466.6073216698587,465.87874152275526,466.13560459762886,465.89748904679385
1.2600000000000007,0.101712662091,-0.0313647257953,11.2724413449,6.2700377521,6.26475482635,0.0,0.244872786243,-0.108494758148,2.1875618891,0.0137412935612,0.0408718567609,0.0,440.08566737250527,439.671283601607,440.93976824336784,440.7034351161096
